autor,song_name,lyrics
Banda MS de Sergio Lizarraga,La Casita,"Aqui estámos Porque acá fue donde nos puso la vida Dejé todo   Mis amigos, mi familia y mi ilusión  Y aunque allá He pasado los mejores años de mi vida Decir esto da tristeza pero acá estamos mejor Pero acá estamos mejor Cómo extraño Ver llover y ese sazón de mi viejita Tengo ganas De volver pero no es el tiempo aún  Bien sabido Que no es fácil ser amigo de la ruina Aquí vengo Tras de un sueño que no lo he logrado aún Que no lo he logrado aún  De allá donde soy quedo una casita Y ando trabajando pa' dejarla bonita Tengo la ilusión de llegar a ser viejo Y ahí pasar los días Un día volveré Allá donde soy si Dios me presta vida  De allá donde soy todo se extraña Amigos sinceros que tienen palabra Y también tengo al amor de mi vida Que me espera con ancias Un día volveré Y voy a secar con besos sus lágrimas  No es lo mismo El llamarles, que darles un abrazo Adelante Ya ni modo la suerte se vino así Y aunque sé Que me estoy perdiendo de cosas que nunca vuelven Lo que duele No saber si los volveré a mirar Si los volveré a mirar  De allá donde soy quedo una casita Y ando trabajando pa' dejarla bonita Tengo la ilusión de llegar a ser viejo Y ahí pasar los días Un día volveré Allá donde soy si Dios me presta vida  De allá donde soy todo se extraña Amigos sinceros que tienen palabra Y también tengo al amor de mi vida Que me espera con ancias Un día volveré Y voy a secar con besos sus lágrimas..."
Los Dos Carnales,El Inmigrante,"              Iba la luna llena, mar, el océano y la ballena Caramelos neptales, retaños, chimba lo de metales Vuelven los intelectuales: Zebra, Medina ""los ilegales"" Déjele todo a los profesionales Rismos y melodías sin iguales Mi misión es mas grande que las misiones espaciales Astro, Mega, Garín, son hermanos legales A las mujeres les encantan los bacanales Disemínalo por todos los canales Holocausto caníbal, pal' mе dicen Drácula o Tepe No salgo dе los corrales Una fortuna en manos de los particulares La plata la gastaré en momentos especiales Los miedos y la champañas se parecen ¿Sabes? Los sueños demasiado hermosos son perjudiciales ¿Sabes? Soy victima y artificie de males Las personas actúan como animales irracionales Abajo el Muro de Berlín, homosexuales La Muralla China llena mujeres sensuales   Dígale que, cómo fue que Si me quiere aquí me tiene Viene a decirle welcome Que cómo fue que Desde Bogotá hasta Holanda Su realidad, mi realidad, frito al acá Guerra de sombras rosas Cosas que ignoras, destrozas las normas Y botas para allá Mi filosofía, los asusté con el tiempo Su frutos da, es la cultura ¿Qué dice Santacruz? Ni sé, reaccioné, gangsta represent Sexy this small, the fuck the shorty Colombia, oiga, mire, tome We, I see homeless Este verano sigue Mi micrófono es revolución Golpe Directo, un, dos, tres, acción Producción   Uno más de mis escritos encapuchados En mesa redonda callejera analizando Los lentes reteniendo las pruebas Sobre relatos, risas, amargos, tratados holandeses Inmigrantes, marroquíes, antillanos Aquí los colombianos pensando en enguayarnos Escondernos y callarnos, es falso Solo respiro, lo retengo y aguanto Como esporas, prendan las luces Que proyectiles sin dumiles se dirigen Dirigidos por quien nos rige Se explica, se advierte y la gente no entiende Terrenal, rubial o aérea El niño que reza la perdida aquella Impresionante cuando, donde pregunte ¿Quién responde?    Otro vuelo, un sueño Que se va en una valija Estilos varios para que elija Para una sola tapada, sisas No se hizo esta cobija Aquí hay calor, sabor mi vida Me la pasó así, en filas urbanas Que buscan con arte azarar la plaza Aquí hay bandidos que salieron de caza Sí hay socia, puros chicos de Holanda Y los chicos de Escocia Mas que armamento, aquí se negocia Animales ruedan por el mundo entero Golpe Directo, pues el letrero Conexión urbana, ruido de andenes Como la parchen, con eso tienen Underground, sí, sonido de propios Zebra, Fonxz y háganlo socios "
Tierra Cali,Ya Me Voy,Yo eso taca muy lejos donde nací Crucé el rió bravo para poder llegar aquí Mi madre santa su vendicion puso en mi Y mi reina amada un beso me dio al partir  Yo ya me voy a la tierra donde nací Extraño a mis viejos y a mi amada que me espera ahí Yo ya me voy mis amigos me tengo que ir Realicé mis sueños y en mi pueblo quiero morir  El canto de los grillos por la noche me han de arrullar Y por las mañanas los gallos me cantaran Y por las tardes los juegos me esperaran Y con mis amigos al cerro vamos a sembrar Yo ya me voy a la tierra donde nací Extraño a mis viejos y a mi amada que me espera ahí Yo ya me voy mis amigos me tengo que ir Realicé mis sueños y en mi pueblo quiero morir
Los Tigres Del Norte,El Mojado Acaudalado,"Me está esperando, México lindo, por eso mismo me voy a ir Soy el mojado acaudalado, pero en mi tierra quiero morir  Adiós, adiós California, Texas, Chicago, Illinois Me llevaré su recuerdo porque a mi tierra me voy Pues aunque tengo dinero, no soy feliz donde estoy  Adiós, adiós Colorado, Nevada y Oregon Adiós les dice el mojado que se empapo de sudor En los campos de Arizona, fábricas de Nueva York Me está esperando, México lindo, por eso mismo me voy a ir Soy el mojado acaudalado, pero en mi tierra quiero morir  Aventurero y mojado, hablando muy bien Inglés Ya me pasee por Atlanta, por Oklahoma también Recia una güera en Florida: ""I love you mexican men""  De los Estados Unidos yo no me voy olvidar Quise tener buen dinero y me lo vine a ganar Pero en mi tierra querida yo me lo pienso a gastar  Me está esperando, México lindo, por eso mismo me voy a ir Soy el mojado acaudalado, pero en mi tierra quiero morir"
Calibre 50,Corrido De Juanito,"   Casi catorce años sin ir a mi tierra a donde nací Ya todo ha cambiado, le ruego a mi Dios, no se olviden de mí Se murió mi madre Y dice mi padre que ya está muy viejo y no quiere venir Y yo sin poder ir, y yo sin poder ir   Trabaje y trabaje, tengo muchos días que no miro el sol Mis hijos son grandes y no les entiendo, no hablan español No han sentido miedo Aquel que no ha visto una camioneta de migración O una deportación, o una deportación  De botitas y sombrero, me miran seguido por el freeway Jardinero o cocinero, igual me la rifo, dirán anyways Y aunque me miren pa' abajo la cara levanto Empinándome un bote Como quiera, soy amigo y también Mexicano Mexicano hasta El Tope   Y como mucho cariño de parte Calibre 50 Corrido para toda la Raza   La vida no es fácil y menos acá, lo que dicen no es cierto Nomás de acordarme las miles de cruces que vi en el desierto Las noches son tristes Pensando y pensando en los que se quedaron, se me pasa el tiempo Y en ver a mi viejo, y en ver a mi viejo   Más que agradecido estoy con mi dios por lo que me ha dado Les mando un saludo a todos mis primos, mis tíos y hermanos Con los ojos tristes Y paso cansado, promete Juanito que va a visitarlos Y poder abrazarlos, y poder abrazarlos  De botitas y sombrero me miran seguido por el freeway Jardinero o cocinero, igual me la rifo dirán anyways Y aunque me miren pa' abajo la cara levanto Empinándome un bote Como quiera soy amigo y también mexicano Mexicano hasta El Tope2"
Conjunto Rio Grande,De Esta Sierra A La Otra Sierra - En Vivo,"La guerra mansa se prolongó en el Bahoruco, no sólo mientras Iñigo Ortiz, escarmentado y pesaroso, pedía y obtenía su relevo, sino mucho tiempo después, durante el mando sucesivo de los capitanes Pedro Ortiz de Matienzo y Pedro de Soria, que fueron a guerrear con igual sistema de observación en las avenidas de la sierra. El primero pretendió sorprender a Enriquillo después de enviarle un mensajero indio que se decía pariente del cacique, con promesas y proposiciones pacíficas; pero habiendo sospechado Enrique la verdadera intención con que se le convidaba a una conferencia, prometió asistir al llamamiento, y asistió en efecto, pero al frente de sus más intrépidos guerreros, que dieron sobre los soldados de Pedro Ortiz emboscados, los desbarataron y pusieron en vergonzosa fuga. Enriquillo hizo ahorcar al traidor, su pretendido pariente, y desde entonces quedó seguro de nuevas tentativas insidiosas.  Pero las irrupciones que Tamayo, al frente de su cuadrilla de gente determinada, solía hacer en las cercanías de la Maguana, desde la sierra de Martín García, situada al Este entre los colonos, por el carácter de fiereza y salvajismo de la del Bahoruco, difundían de vez en cuando la alarma que distinguía estos saltos atrevidos, de la moderación y humanidad que ya eran notorias en las prácticas de Enriquillo. Durante la última permanencia de Diego Colón en Santo Domingo, que fue hasta 1523, las dificultades que le suscitaron sus émulos no le permitieron hacer otra cosa memorable que la represión de un levantamiento de esclavos africanos que dieron muerte al mayoral en una hacienda del mismo Almirante, cerca del río Nisao. Trasladóse en persona Diego Colón al lugar de la ocurrencia; los alzados fueron fácilmente vencidos, y de ellos los que pudieron escapar con vida se incorporaron en la horda de Tamayo, que con este contingente extendió sus correrías devastadoras hasta los términos de Azua.  Las autoridades, a pesar del clamor continuo de los pueblos más directamente perjudicados con aquel azote, excusaban cuanto podían la movilización de tropas, por resentirse ya demasiado el tesoro real con los crecidos gastos de las armadas precedentes. Un golpe de fortuna de los alzados indios, aunque exento de crueldad y ostentando el sello de la moderación que caracterizaba todos los actos de Enriquillo, tuvo al fin más eficacia para hacer que los encargados de la pública seguridad despertaran de su letargo, que todas las violencias de Tamayo y en horda sanguinaria. Arribó a Santo Domingo cierto día un barco, que navegando desde Costa Firme había recalado por causa del mal tiempo en un puerto de los más cercanos a la sierra del Bahoruco, donde los vigilantes indios de la costa consiguieron capturar la nave, con toda la gente que iba a su bordo. Informado el cacique del suceso bajó a la ribera del mar, y por sus órdenes recobraron la libertad los navegantes con su barco; pero el valioso cargamento de oro, alfójar y perlas que aquél llevaba, quedó en poder de Enriquillo.  Al tener noticias de este fracaso los oficiales reales y jueces de la Audiencia, sintieron tanto dolor y angustia como si les arrancaran las entretelas del corazón. Que Tamayo y su gavilla incendiaran caseríos enteros; que mataran sin piedad hombres y mujeres, y cometieran otros hechos atroces, podía pasar como cosa natural y corriente, en el estado de rebelión en que se mantenía una gran parte de la isla; pero ¡atreverse a despojar a un barco de las riquezas que conducía! Ya eso pasaba todos los límites de lo honesto y tolerable, y el dios-oro exigía que las celosas autoridades hicieran los mayores esfuerzos para recobrar aquella presa, en primer lugar; y después de pacificar la isla si era posible. Procedimiento característico de todo un sistema. Resolvieron por lo tanto hacer leva de gente, y reforzar las guarniciones de la sierra; pero al mismo tiempo no desdeñaron los medios de persuasión y acomodamiento amigable; en lo que bien se deja ver que ya había pasado de esta vida Miguel de Pasamonte, el inflexible Tesorero, que tardó poco seguir a la tumba a Diego Colón, de quien había sido el más implacable antagonista.  Los oficiales reales, sabiendo que estaba en Santo Domingo el buen fray Remigio, aquel preceptor del cacique Enrique cuando éste se educaba en el convento de Vera Paz, echaron mano de él, y socolor de servir a Dios y a la paz pública lo persuadieron a ir al Bahoruco en el mismo barco desvalijado, cuyos tripulantes iban consolándose con la esperanza de que el religioso conseguiría reducir su antiguo discípulo a que soltara la rica presa. Llegados allá, los alzados vigilaban como antes; el pobre fray Remigio saltó a tierra confiado, y fue al punto hecho prisionero, escarnecido y despojado de sus vestidos por los indios, que a pesar de sus protestas se obstinaron en creer que era un espía. Consiguió al fin a fuerzas de súplicas ser conducido a la presencia de Enriquillo que no estaba lejos.  Tan pronto como el cacique reconoció a su antiguo preceptor, y le vio en tan triste extremidad, corrió a él y lo abrazó tiernamente con las muestras del más vivo pesar, le pidió perdón por la conducta de su gente, y la excusó con las noticias que ya tenían de la nueva armada que contra él se hacía en Santo Domingo y otros lugares. Después hizo vestir al padre Remigio y sus compañeros del mejor modo que le fue posible, les dio alimentos y refrescos, y entró a tratar con el emisario acerca del objeto de su viaje al Bahoruco.  El digno religioso empleó todos los recursos de su ciencia y erudición, que eran grandes, y los de su ascendiente sobre el corazón de su antiguo pupilo, que no era escaso, para convencerle de que debía abandonar la mala vida que estaba haciendo, y someterse a los castellanos, que le ofrecían amplio perdón y grandes provechos. Toda la elocuencia de fray Remigio fue infructuosa: Enriquillo expuso con noble sencillez sus agravios, la justa desconfianza que le inspiraban las promesas de los tiranos, y su resolución de continuar la lucha mientras no viera que la corona decretaba la libertad de los indios, y que ésta se llevara a efecto en toda la colonia. El cacique recordó a su preceptor con gran oportunidad sus lecciones de historia en la Vera Paz, y aquel Viriato, cuyo alzamiento contra los romanos era aplaudido por el sabio religioso como acto de heroica virtud.  A este argumento bajó fray Remigio la cabeza, y apeló a la generosidad del cacique para que devolviera el tesoro de Costa Firme.  —Por vos, padre mío –le contestó Enriquillo–, lo haría gustosísimo; como por el padre Las Casas, a quién amo de todo corazón; pero ese tesoro lo quieren mis enemigos para armar nueva gente contra mí: ¿podéis darme la seguridad de que tal no ha de ser su destino?  —A tanto no me atrevo, hijo mío –respondió a su vez el padre Remigio–. No traje más encargo que el de exhortarte a la paz, y me alegraría de que dieras una prueba más de tu moderación y desinterés, restituyendo esas riquezas.  —Que me den la seguridad de no hostilizarme en mis montañas –repuso Enrique– y devolveré al punto esas riquezas que para nada me sirven.  —¿Esa es tu resolución definitiva? –volvió a preguntar el fraile.  —Sí, padre mío: os ruego que la hagáis valer, y sobre todo, que expliquéis mis razones al padre Las Casas, al señor Almirante, a mi padrino Don Diego Velázquez. Aseguradles que no soy ingrato…  —El padre Las Casas lo sabe muy bien, hijo –repuso fray Remigio–. En cuanto a Don Diego Colón y Don Diego Velázquez, ya salieron de este mundo, y pasaron a mejor vida.  —¡Dios los tenga en el cielo! –dijo Enrique, con su acento grave y reposado. Pocas horas después, fray Remigio se despidió afectuosamente de su antiguo discípulo, embarcándose con los compañeros que habían tenido el valor de compartir sus riesgos. La nave desplegó al viento su blanco lino, y en breve llegó a Santo Domingo sin novedad."
Kanales,La Barda,"* = Canciones incompletas  ChocQuibTown, Zion & Lennox, Farruko - Pa Olvidarte   Luis Fonsi - Apaga La Luz Ozuna - Cama Vacía Feid, Sech - Sígueme  Anitta, MC Kevinho - Terremoto *La Original Banda El Limón de Salvador Lizárraga - Y Ahora Te Vas *Juan Pablo Vega - Fishaman  Messiah - Novios *Alfredo Olivas - A Estas Horas *Lenin Ramírez - Hierba de Receta  Paola Jara - Como Si Nada  *Yahir - Entre Nosotros Dos Juan Magán - Claro Que Si  *Ls Duran - Contener Tu Voz *Pj Sin Suela - La Pelúa Juhn - Recuerdos Mariah, Casper Mágico - Lo Prohibido Malu Trevejo - Como Tú Me Quieres El Alfa - El Hombre *María Del Pilar - Milagrito *Cheyo Carrillo - No Podemos Ser Amigos Leslie Grace - Call the Shots Farina, Tokischa - Perras Como Tú *JFab & Paola Fabre - Mia  *Alih Jey, Cuñao - Mi Debilidad *Rodrigo y Gabriela - Echoes *Alfredo Rodriguez, Pedrito Martinez - Duologue *Cecilia Krull, Mala Rodríguez - Adnus Di   *Apache - Oído al Tambor *Camy G - No Soy Así  Sabino - Los Enamorados  MC Davo - HBO  *Taylor Diaz - Besándote *Banda Tierra Sagrada - El Corrido de Gabino  Carlos Sadness - Isla Morenita *Los De Guamuchil - Éxtasis  *Kanales - Hombre de 14 Años Jackie Mendoza - De Lejos *Demarco Flamenco - Te entiendo *Divino Niño - Foam *Juan Carlos Ensamble - Otra Vez *Kaydy Cain - Mi Cibernovia  Rels B - HEY, SHORTY! *Delsole, Kodigo - Me Equivoqué *Kevin Johansen - Solo Le Dije *Fabo, Valen Madanes - Amores Como el Nuestro *Pedro Aznar, Manuel García - Canción para Mañana *Tu Vicio - Amantes Frijo - La Perdí Joaquín Sabina - Coplas Patéticas D-Enyel, Ñengo Flow - Patrón Nissa - Safari *Ray Callao - Rebeca *BlackDali - Yo Soy *Bandana - En la Punta de la Lengua *Cuentos Borgeanos - Chau! *Gollo - Buscame Homer El Mero Mero - Los Mismos de Siempre Coqueéin Montana, Big Zaes - Combo Diario *Ale Ceberio - El Camison *Fidel Nadal, Van-Clive - Veni Mark B, MC Davo, Pacho El Antifeka, Rochy RD - Un Nuevo Día *Daniel Cardozo - No Te Encuentro *Kiddo Toto, Gandu - Pary 10Canciones sin transcribir = 38"
Fernando Ayala,El Mojado,"Es cierto que soy mojado me vine pal otro lado en busca de buena vida para todos mi chávalos  Es cierto soy ilegal, pero a mi no me interesa yo lo hice por mis hijos, por mi esposa y por mis padres, en el campo pa poder ganarme un peso vieran que no es tan facil  Casi nunca veo mis hijos, siempre ando trabajando, me dicen papi cuando vienes y nos sacas solo un rato, a la vuelta de la esquina o una vuelta en el carro, no me importa sólo quiero estar contigo solo un rato Si supieran mis niños que no еs tan facil, El sueño Anericano  Yo e luchado y yo е luchado y muchas veces me han tumbado pero sigo pa delante y me sigo levantando, varios años batallando, mucha gente me ha humillado, a mi me dicen, a mi me dicen el mojado   Y para estar en donde estoy, pa tener lo que hoy tengo, la neta yo e trabajado y me esforzado pa tenerlo, no le pido nada a nadie, solo le digo a mi dios, muchas gracias por todo aqui andamos al million, trabajando pero ya no en el campo, porque hoy en día yo soy todo un licenciado, Hoy mi vida ya cambio  Ahora miren como estoy, aqui andamos trabajando, nunca pierdo la humildad, y el respecto lo eh ganado, Ayudando a los demas, como deberia de ser,  mientras tengas pa dar, es mejor que tener Aqui andamos siempre con la frente en alto, siempre firmes yo seguire trabajando A mi me dicen, yo soy, me identifico, como el mojado"
Diferente Nivel,El Mojado," Ella no es una niña de casa En el dm me dice qué pasa No me llames mejor tirame un WhatsApp Soy un salsero puta tengo la salsa Le llego en 5 Baby no drama Mami huh ta mojada tu braga Subo de nivel diferente gama Sayayin como toriyma  Esa tu hoe la tengo en el top 10 Ella me llama que me quiere coger Le doy gracias a dios por lo que voy a comer My bitch a barbie yo soy su ken Tiene mi número llámame mama Oh shit fuck ella quiere mi salsa   No tengo bands or nissan Igual tu chica dice ""OMG"" Yo la veo primero tú en el onlyfan Ella me quiere y no es por la fama  No tengo bands or nissan Igual tu chica dice ""OMG"" Yo la veo primero tú en el onlyfan Ella me quiere y no es por la fama   Ella no es una niña de casa En el dm me dice qué pasa No me llames mejor tirame un WhatsApp Soy un salsero puta tengo la salsa Le llego en 5 Baby no drama Mami huh ta mojada tu braga Subo de nivel diferente gama Sayayin como toriyma Ella no es una niña de casa En el dm me dice qué pasa No me llames mejor tirame un WhatsApp Soy un salsero puta tengo la salsa Le llego en 5 Baby no drama Mami huh ta mojada tu braga Subo de nivel diferente gama Sayayin como toriyma1"
Calibre 50,El Inmigrante,"Apenas tenia 17 Cuando cruce la frontera Se lo prometí a mi viejesita Sacarla de la pobreza Me quemaban las noches de frio Por poquito me ahogaba en el rio Y aquellos que sufrieron lo mismo Les dedico este corrido  Soy uno de tantos Mexicanos Que trabajan día con día Para darle futuro a mis hijos Y ayudar a mi familia Como extraño mi rancho querido Mis amigos que no los olvido Y a mis viejos que hace varios años Que no los he visto Piensan que por que brinque la linea Soy un narcotraficante Ya basta de mil humillaciones Nomas por ser ""Inmigrante"" Estoy cantando por toda mi gente No lo olviden tenganlo presente Que aquellos a los que no querían Hoy los hacen presidentes    El trabajo aquí ha sido muy duro Pero nunca me he rajado Y las cosas que yo he conseguido Con esfuerzo me he ganado Y aquel que se fue pal otro lado Y dejo en su país su pasado Quien pensaba de aquel muchachito Y miren lo que a logrado  Nos han prometido tantas cosas Y no nos han dado nada Igualdad, respeto, y tolerancia Es lo que pide mi raza Estoy cantando por toda mi gente No lo olviden tenganlo presente Y aquellos a los que no querían Hoy los hacen presidentes"
